personId,source,sourceID
997,Pharmaceuticals,517
998,Supermarkets,669
999,Electronics,211
1000,Consumer goods,145
1001,Laboratory services,371
1002,Pharmaceuticals,517
1003,Hedge funds,312
1004,Pharmaceuticals,517
1005,Fashion retail,232
1006,Sports apparel,642
1007,Liquor,378
1008,Real estate,560
1009,Restaurants,572
1010,Palm oil,493
1011,Diversified,187
1012,Diversified,187
1013,Education,200
1014,Gaming,276
1015,Pharmaceuticals,517
1016,Investments,360
1017,Solar panel materials,628
1018,Fashion retail,232
1019,Automotive brakes,41
1020,Pharmaceuticals,517
1021,Real estate,560
1022,Mobile phones,431
1023,Netscape,449
1023,Investments,360
1024,Convenience stores,148
1025,Hair products,297
1025,Tequila,688
1026,Formula One,267
1027,Defense,170
1027,Hotels,327
1028,Live entertainment,385
1029,Furniture,270
1030,Engineering,220
1031,Medical devices,407
1032,Homebuilding,323
1033,Real estate,560
1034,Diversified,187
1035,Samsung,579
1036,Consumer products,146
1037,Healthcare,304
1038,Packaging,489
1039,Flavorings,255
1040,Spotify,650
1041,Energy,216
1042,Drugstores,192
1043,Software,619
1044,Real estate,560
1045,Real estate,560
1046,Oil & gas,463
1047,Investments,360
1048,Tires,698
1049,Pharmaceuticals,517
1050,TV network,674
1050,Investments,360
1051,Energy drinks,218
1052,Hedge fund,311
1053,Medical devices,407
1054,Hedge funds,312
1055,Chewing gum,110
1056,Supermarkets,669
1057,Fashion retail,232
1058,Jewelry,363
1059,Pharmaceuticals,517
1060,Uber,720
1061,Casinos,99
1061,Property,550
1061,Energy,216
1062,Hotels,327
1063,Hyundai,333
1064,Consumer goods,145
1065,Supermarkets,669
1066,Chemicals,109
1067,Casinos,99
1067,Mixed martial arts,428
1068,Sensor technology,599
1069,Consumer goods,145
1070,Diversified,187
1071,Palm oil,493
1071,Property,550
1072,Construction materials,142
1073,Chemicals,109
1074,Walmart,741
1074,Logistics,386
1075,Telecom,681
1076,Telecom,681
1077,Real estate,560
1078,Consumer goods,145
1079,Art collection,32
1080,Software services,621
1081,Retail,573
1082,Retail,573
1082,Real estate,560
1083,Education,200
1084,Adhesives,5
1085,Facebook,229
1086,Drug distribution,191
1087,Video streaming,732
1088,Metals,419
1088,Coal,120
1089,Petrochemicals,511
1090,Shipping,603
1091,EBay,196
1092,Building materials,82
1093,Pharmaceuticals,517
1094,Electrical equipment,207
1095,Investments,360
1096,Investments,360
1097,Diversified,187
1098,Diversified,187
1099,Diversified,187
1100,Diversified,187
1101,Commodities,132
1102,Biopharmaceuticals,69
1103,Pharmaceuticals,517
1104,Pharmaceuticals,517
1105,Metals,419
1105,Mining,426
1106,Fast food,235
1107,Hedge funds,312
1108,Oil & gas,463
1109,Casinos,99
1109,Mixed martial arts,428
1110,Automobiles,39
1111,Money management,432
1112,Hotels,327
1113,Mining,426
1114,Mining,426
1114,Steel,658
1115,Consumer goods,145
1116,Building materials,82
1117,Financial services,247
